Dataset,CaseID,GT_Label,Success,ResolvedPhase,n_calls,input_tokens,output_tokens,elapsed_s
alfworld,Qwen3-8B_001_id_1___chat_b000_t00_e01-5b8f974f,Stopping Too Early,1,Local,2,4235,561,6.39
alfworld,Qwen3-8B_002_id_2___chat_b000_t00_e04-7e3c13ba,Overextended Planning,1,Local,3,4325,426,7.03
alfworld,Qwen3-8B_003_id_3___chat_b001_t00_e01-5b8f974f,Faulty Task Structuring,1,Local,3,4891,698,8.51
alfworld,Qwen3-8B_004_id_4___chat_b001_t00_e02-1e119842,Stopping Too Early,1,Local,2,4482,498,7.09
alfworld,Qwen3-8B_005_id_5___chat_b004_t00_e02-1e119842,Stopping Too Early,1,Local,2,4541,634,7.06
alfworld,Qwen3-8B_006_id_6___chat_b004_t00_e03-d2034edc,Faulty Task Structuring,1,Local,9,16838,2152,26.73
alfworld,Qwen3-8B_007_id_7___chat_b005_t00_e00-d3248f80,Stopping Too Early,1,Local,2,4082,532,6.86
alfworld,Qwen3-8B_008_id_8___chat_b005_t00_e00-d3248f80,Circular or Invalid Reasoning,1,Local,2,4173,547,6.97
alfworld,Qwen3-8B_009_id_9___chat_b005_t00_e03-d2034edc,Token Limit Exceeded,0,Failed,9,19954,1595,23.66
alfworld,Qwen3-8B_010_id_10___chat_b005_t00_e04-7e3c13ba,Faulty Task Structuring,1,Local,3,4927,667,8.79
alfworld,Qwen3-8B_011_id_11___chat_b006_t00_e01-5b8f974f,Token Limit Exceeded,1,Local,6,12690,883,13.81
alfworld,Qwen3-8B_012_id_12___chat_b006_t00_e02-1e119842,Stopping Too Early,1,Escalator,9,18165,2226,30.42
alfworld,Qwen3-8B_013_id_13___chat_b007_t00_e01-5b8f974f,Faulty Task Structuring,1,Local,3,4915,768,9.85
alfworld,Qwen3-8B_014_id_14___chat_b007_t00_e02-1e119842,Faulty Task Structuring,1,Local,3,4480,407,6.25
alfworld,Qwen3-8B_015_id_15___chat_b008_t00_e00-d3248f80,Stopping Too Early,1,Local,2,4290,495,6.9
alfworld,Qwen3-8B_016_id_16___chat_b008_t00_e03-d2034edc,Stopping Too Early,1,Escalator,9,22135,2794,37.11
alfworld,Qwen3-8B_017_id_17___chat_b009_t00_e01-5b8f974f,Stopping Too Early,1,Local,4,9166,1204,14.62
alfworld,Qwen3-8B_018_id_18___chat_b009_t00_e03-d2034edc,Circular or Invalid Reasoning,1,Local,2,3709,350,4.94
alfworld,Qwen3-8B_019_id_19___chat_b012_t00_e00-d3248f80,Faulty Task Structuring,0,Failed,12,24486,3037,39.81
alfworld,Qwen3-8B_020_id_20___chat_b012_t00_e01-5b8f974f,Tool Invocation Exception,1,Local,6,13087,1102,15.93
gaia,GPT-4o_001_memory_b000_t00_e00-7743eba0,Overextended Planning,1,Escalator,12,22820,2919,42.92
gaia,GPT-4o_002_memory_b000_t00_e01-7ab08a46,Tool Invocation Exception,1,Escalator,9,19162,3019,41.51
gaia,GPT-4o_003_memory_b000_t00_e03-21a3a421,Faulty Task Structuring,0,Failed,12,18740,2869,40.78
gaia,GPT-4o_004_memory_b000_t00_e04-5e8c1dcf,Faulty Task Structuring,0,Failed,12,19581,3127,42.12
gaia,GPT-4o_005_memory_b000_t00_e05-c9015705,Faulty Task Structuring,0,Failed,12,21945,2897,40.53
gaia,GPT-4o_006_memory_b000_t00_e06-71f77595,Outdated Memory,0,Failed,9,19684,2583,34.86
gaia,GPT-4o_007_memory_b000_t00_e08-f572f2ad,Outdated Memory,1,Escalator,9,20587,2966,37.72
gaia,GPT-4o_008_memory_b000_t00_e09-f0557a9f,Faulty Task Structuring,1,Escalator,12,21191,3045,44.68
gaia,GPT-4o_009_memory_b001_t00_e01-7ab08a46,Overextended Planning,1,Escalator,12,21489,2762,38.35
gaia,GPT-4o_010_memory_b001_t00_e02-8d639e26,Faulty Task Structuring,0,Failed,12,21939,2955,40.02
gaia,GPT-4o_011_memory_b001_t00_e03-21a3a421,Outdated Memory,1,Escalator,9,20999,2778,39.91
gaia,GPT-4o_012_memory_b001_t00_e04-5e8c1dcf,Tool Output Exception,0,Failed,9,21445,2883,37.76
gaia,GPT-4o_013_memory_b001_t00_e05-c9015705,Tool Invocation Exception,1,Escalator,9,21137,2718,36.38
gaia,GPT-4o_014_memory_b001_t00_e06-71f77595,Overextended Planning,1,Escalator,12,22518,2904,41.52
gaia,GPT-4o_015_memory_b001_t00_e07-f5b5d66a,Ambiguous Goal,1,Escalator,9,20504,2716,35.49
gaia,GPT-4o_016_memory_b001_t00_e08-f572f2ad,Faulty Task Structuring,0,Failed,12,23088,3039,40.97
gaia,Llama3.3-70B-Turbo_001_memory_b000_t00_e00-7743eba0,Overextended Planning,0,Failed,12,28737,3032,50.22
gaia,Llama3.3-70B-Turbo_002_memory_b000_t00_e01-7ab08a46,Overextended Planning,1,Escalator,12,22257,3068,44.64
gaia,Llama3.3-70B-Turbo_003_memory_b000_t00_e02-8d639e26,Circular or Invalid Reasoning,1,Escalator,9,20286,2656,34.89
gaia,Llama3.3-70B-Turbo_004_memory_b000_t00_e03-21a3a421,Faulty Task Structuring,0,Failed,12,19266,2893,41.03
webshop,GPT-4o_001_chat_b000_t00_e00-d3248f80,Overextended Planning,1,Local,9,14910,1596,23.39
webshop,GPT-4o_002_chat_b000_t00_e01-5b8f974f,Error Propagation,0,Failed,9,23145,3157,37.68
webshop,GPT-4o_003_chat_b000_t00_e02-1e119842,API Semantic Mismatch,1,Local,2,4465,662,8.61
webshop,GPT-4o_004_chat_b000_t00_e03-21a3a421,Stopping Too Early,0,Failed,9,21634,2580,35.5
webshop,GPT-4o_005_chat_b000_t00_e04-7e3c13ba,Overextended Planning,1,Local,3,4789,530,7.92
webshop,GPT-4o_006_chat_b000_t00_e05-996588dc,Overextended Planning,1,Local,3,4999,691,9.21
webshop,GPT-4o_007_chat_b000_t00_e06-a15c0dc2,Circular or Invalid Reasoning,1,Local,2,4209,678,8.36
webshop,GPT-4o_008_chat_b000_t00_e07-d50ae81f,Overextended Planning,1,Local,3,4519,615,8.7
webshop,GPT-4o_009_chat_b000_t00_e08-6a7bac22,Faulty Task Structuring,1,Local,3,4760,722,8.81
webshop,GPT-4o_010_chat_b000_t00_e09-f0557a9f,Hallucinated Facts,1,Local,6,14760,1680,21.4
webshop,GPT-4o_011_chat_b000_t00_e10-69d80a84,Overextended Planning,1,Local,3,5008,655,9.08
webshop,GPT-4o_012_chat_b000_t00_e11-1cc61441,Ambiguous Goal,1,Escalator,9,21297,2827,37.62
webshop,GPT-4o_013_chat_b000_t00_e12-f27d2887,Hallucinated Facts,1,Local,4,9054,1074,15.88
webshop,GPT-4o_014_chat_b000_t00_e13-c39f2c41,Hallucinated Facts,1,Escalator,9,23519,3293,41.76
webshop,GPT-4o_015_chat_b000_t00_e14-1d03d2d8,Outdated Memory,1,Escalator,9,23015,2999,36.2
webshop,Llama3.3-70B-Turbo_020_webshop_task_020,Outdated Memory,0,Failed,9,21987,2744,36.81
webshop,Llama3.3-70B-Turbo_019_webshop_task_019,Faulty Task Structuring,1,Local,3,4433,714,9.84
webshop,Llama3.3-70B-Turbo_018_webshop_task_018,Faulty Task Structuring,1,Local,3,4584,736,10.44
webshop,Llama3.3-70B-Turbo_017_webshop_task_017,Hallucinated Facts,1,Local,4,9566,1141,15.18
webshop,Llama3.3-70B-Turbo_016_webshop_task_016,Outdated Memory,0,Failed,9,21834,3073,42.26
