Dataset,CaseID,GT_Label,Success,ResolvedPhase,n_calls,input_tokens,output_tokens,elapsed_s
alfworld,Qwen3-8B_001_id_1___chat_b000_t00_e01-5b8f974f,Stopping Too Early,0,Failed,9,13558,2023,31.2
alfworld,Qwen3-8B_002_id_2___chat_b000_t00_e04-7e3c13ba,Overextended Planning,1,SelfReflection,6,8117,1153,17.63
alfworld,Qwen3-8B_003_id_3___chat_b001_t00_e01-5b8f974f,Faulty Task Structuring,0,Failed,9,14302,2257,29.77
alfworld,Qwen3-8B_004_id_4___chat_b001_t00_e02-1e119842,Stopping Too Early,0,Failed,9,14747,2369,33.34
alfworld,Qwen3-8B_005_id_5___chat_b004_t00_e02-1e119842,Stopping Too Early,1,SelfReflection,9,14993,2427,32.35
alfworld,Qwen3-8B_006_id_6___chat_b004_t00_e03-d2034edc,Faulty Task Structuring,1,SelfReflection,3,4528,745,9.65
alfworld,Qwen3-8B_007_id_7___chat_b005_t00_e00-d3248f80,Stopping Too Early,0,Failed,9,12834,1893,30.73
alfworld,Qwen3-8B_008_id_8___chat_b005_t00_e00-d3248f80,Circular or Invalid Reasoning,1,SelfReflection,9,12782,1745,26.54
alfworld,Qwen3-8B_009_id_9___chat_b005_t00_e03-d2034edc,Token Limit Exceeded,0,Failed,9,14096,1715,26.56
alfworld,Qwen3-8B_010_id_10___chat_b005_t00_e04-7e3c13ba,Faulty Task Structuring,1,SelfReflection,3,4537,810,10.28
alfworld,Qwen3-8B_011_id_11___chat_b006_t00_e01-5b8f974f,Token Limit Exceeded,0,Failed,9,13232,1885,29.67
alfworld,Qwen3-8B_012_id_12___chat_b006_t00_e02-1e119842,Stopping Too Early,0,Failed,9,11898,1774,28.35
alfworld,Qwen3-8B_013_id_13___chat_b007_t00_e01-5b8f974f,Faulty Task Structuring,1,SelfReflection,6,9228,1611,21.48
alfworld,Qwen3-8B_014_id_14___chat_b007_t00_e02-1e119842,Faulty Task Structuring,0,Failed,9,12467,1605,24.58
alfworld,Qwen3-8B_015_id_15___chat_b008_t00_e00-d3248f80,Stopping Too Early,0,Failed,9,13789,2024,29.16
alfworld,Qwen3-8B_016_id_16___chat_b008_t00_e03-d2034edc,Stopping Too Early,0,Failed,9,14388,2160,30.85
