Dataset,CaseID,GT_Label,SR_Success,ResolvedPhase,n_llm_calls,elapsed_s
alfworld,Qwen3-8B_001_id_1___chat_b000_t00_e01-5b8f974f,Stopping Too Early,1,SelfReflection,3,10.61
alfworld,Qwen3-8B_002_id_2___chat_b000_t00_e04-7e3c13ba,Overextended Planning,0,Failed,9,23.18
alfworld,Qwen3-8B_003_id_3___chat_b001_t00_e01-5b8f974f,Faulty Task Structuring,1,SelfReflection,6,20.41
alfworld,Qwen3-8B_004_id_4___chat_b001_t00_e02-1e119842,Stopping Too Early,0,Failed,9,25.02
alfworld,Qwen3-8B_005_id_5___chat_b004_t00_e02-1e119842,Stopping Too Early,0,Failed,9,29.33
alfworld,Qwen3-8B_006_id_6___chat_b004_t00_e03-d2034edc,Faulty Task Structuring,0,Failed,9,25.16
alfworld,Qwen3-8B_007_id_7___chat_b005_t00_e00-d3248f80,Stopping Too Early,0,Failed,9,27.64
alfworld,Qwen3-8B_008_id_8___chat_b005_t00_e00-d3248f80,Circular or Invalid Reasoning,1,SelfReflection,9,32.21
alfworld,Qwen3-8B_009_id_9___chat_b005_t00_e03-d2034edc,Token Limit Exceeded,0,Failed,9,24.61
alfworld,Qwen3-8B_010_id_10___chat_b005_t00_e04-7e3c13ba,Faulty Task Structuring,1,SelfReflection,3,9.15
alfworld,Qwen3-8B_011_id_11___chat_b006_t00_e01-5b8f974f,Token Limit Exceeded,0,Failed,9,27.19
alfworld,Qwen3-8B_012_id_12___chat_b006_t00_e02-1e119842,Stopping Too Early,0,Failed,9,25.18
alfworld,Qwen3-8B_013_id_13___chat_b007_t00_e01-5b8f974f,Faulty Task Structuring,1,SelfReflection,3,11.06
alfworld,Qwen3-8B_014_id_14___chat_b007_t00_e02-1e119842,Faulty Task Structuring,0,Failed,9,26.28
alfworld,Qwen3-8B_015_id_15___chat_b008_t00_e00-d3248f80,Stopping Too Early,0,Failed,9,31.36
alfworld,Qwen3-8B_016_id_16___chat_b008_t00_e03-d2034edc,Stopping Too Early,0,Failed,9,32.36
alfworld,Qwen3-8B_017_id_17___chat_b009_t00_e01-5b8f974f,Stopping Too Early,1,SelfReflection,3,10.22
alfworld,Qwen3-8B_018_id_18___chat_b009_t00_e03-d2034edc,Circular or Invalid Reasoning,1,SelfReflection,6,18.44
alfworld,Qwen3-8B_019_id_19___chat_b012_t00_e00-d3248f80,Faulty Task Structuring,0,Failed,9,27.88
alfworld,Qwen3-8B_020_id_20___chat_b012_t00_e01-5b8f974f,Tool Invocation Exception,0,Failed,9,20.99
gaia,GPT-4o_001_memory_b000_t00_e00-7743eba0,Overextended Planning,1,SelfReflection,9,28.12
gaia,GPT-4o_002_memory_b000_t00_e01-7ab08a46,Tool Invocation Exception,0,Failed,9,27.52
gaia,GPT-4o_003_memory_b000_t00_e03-21a3a421,Faulty Task Structuring,0,Failed,9,26.81
gaia,GPT-4o_004_memory_b000_t00_e04-5e8c1dcf,Faulty Task Structuring,0,Failed,9,30.95
gaia,GPT-4o_005_memory_b000_t00_e05-c9015705,Faulty Task Structuring,0,Failed,9,31.32
gaia,GPT-4o_006_memory_b000_t00_e06-71f77595,Outdated Memory,0,Failed,9,33.8
gaia,GPT-4o_007_memory_b000_t00_e08-f572f2ad,Outdated Memory,0,Failed,9,32.84
gaia,GPT-4o_008_memory_b000_t00_e09-f0557a9f,Faulty Task Structuring,0,Failed,9,29.27
gaia,GPT-4o_009_memory_b001_t00_e01-7ab08a46,Overextended Planning,0,Failed,9,30.86
gaia,GPT-4o_010_memory_b001_t00_e02-8d639e26,Faulty Task Structuring,0,Failed,9,30.72
gaia,GPT-4o_011_memory_b001_t00_e03-21a3a421,Outdated Memory,0,Failed,9,31.29
gaia,GPT-4o_012_memory_b001_t00_e04-5e8c1dcf,Tool Output Exception,0,Failed,9,27.13
gaia,GPT-4o_013_memory_b001_t00_e05-c9015705,Tool Invocation Exception,0,Failed,9,32.58
gaia,GPT-4o_014_memory_b001_t00_e06-71f77595,Overextended Planning,0,Failed,9,27.68
gaia,GPT-4o_015_memory_b001_t00_e07-f5b5d66a,Ambiguous Goal,0,Failed,9,33.14
gaia,GPT-4o_016_memory_b001_t00_e08-f572f2ad,Faulty Task Structuring,0,Failed,9,34.34
gaia,Llama3.3-70B-Turbo_001_memory_b000_t00_e00-7743eba0,Overextended Planning,0,Failed,9,28.94
gaia,Llama3.3-70B-Turbo_002_memory_b000_t00_e01-7ab08a46,Overextended Planning,0,Failed,9,32.13
gaia,Llama3.3-70B-Turbo_003_memory_b000_t00_e02-8d639e26,Circular or Invalid Reasoning,0,Failed,9,28.97
gaia,Llama3.3-70B-Turbo_004_memory_b000_t00_e03-21a3a421,Faulty Task Structuring,0,Failed,9,28.87
webshop,GPT-4o_001_chat_b000_t00_e00-d3248f80,Overextended Planning,0,Failed,9,1102.14
webshop,GPT-4o_002_chat_b000_t00_e01-5b8f974f,Error Propagation,0,Failed,9,284.15
webshop,GPT-4o_003_chat_b000_t00_e02-1e119842,API Semantic Mismatch,1,SelfReflection,3,9.47
webshop,GPT-4o_004_chat_b000_t00_e03-21a3a421,Stopping Too Early,1,SelfReflection,3,10.77
webshop,GPT-4o_005_chat_b000_t00_e04-7e3c13ba,Overextended Planning,1,SelfReflection,3,9.47
webshop,GPT-4o_006_chat_b000_t00_e05-996588dc,Overextended Planning,1,SelfReflection,3,12.45
webshop,GPT-4o_007_chat_b000_t00_e06-a15c0dc2,Circular or Invalid Reasoning,1,SelfReflection,3,10.4
webshop,GPT-4o_008_chat_b000_t00_e07-d50ae81f,Overextended Planning,1,SelfReflection,9,33.18
webshop,GPT-4o_009_chat_b000_t00_e08-6a7bac22,Faulty Task Structuring,1,SelfReflection,3,10.96
webshop,GPT-4o_010_chat_b000_t00_e09-f0557a9f,Hallucinated Facts,0,Failed,9,28.14
webshop,GPT-4o_011_chat_b000_t00_e10-69d80a84,Overextended Planning,1,SelfReflection,3,10.65
webshop,GPT-4o_012_chat_b000_t00_e11-1cc61441,Ambiguous Goal,1,SelfReflection,3,14.23
webshop,GPT-4o_013_chat_b000_t00_e12-f27d2887,Hallucinated Facts,0,Failed,9,30.23
webshop,GPT-4o_014_chat_b000_t00_e13-c39f2c41,Hallucinated Facts,0,Failed,9,32.75
webshop,GPT-4o_015_chat_b000_t00_e14-1d03d2d8,Outdated Memory,0,Failed,9,30.95
webshop,Llama3.3-70B-Turbo_020_webshop_task_020,Outdated Memory,0,Failed,9,29.67
webshop,Llama3.3-70B-Turbo_019_webshop_task_019,Faulty Task Structuring,1,SelfReflection,3,11.79
webshop,Llama3.3-70B-Turbo_018_webshop_task_018,Faulty Task Structuring,1,SelfReflection,3,10.75
webshop,Llama3.3-70B-Turbo_017_webshop_task_017,Hallucinated Facts,0,Failed,9,31.26
webshop,Llama3.3-70B-Turbo_016_webshop_task_016,Outdated Memory,0,Failed,9,35.06
