Dataset,CaseID,GT_Label,Predicted_Label,Correct,Predicted_Success,ResolvedPhase
alfworld,Qwen3-8B_001_id_1___chat_b000_t00_e01-5b8f974f,Stopping Too Early,Hallucinated Facts,0,1,Local
alfworld,Qwen3-8B_002_id_2___chat_b000_t00_e04-7e3c13ba,Overextended Planning,Circular or Invalid Reasoning,0,1,Local
alfworld,Qwen3-8B_003_id_3___chat_b001_t00_e01-5b8f974f,Faulty Task Structuring,Circular or Invalid Reasoning,0,1,Local
alfworld,Qwen3-8B_004_id_4___chat_b001_t00_e02-1e119842,Stopping Too Early,Circular or Invalid Reasoning,0,1,Local
alfworld,Qwen3-8B_005_id_5___chat_b004_t00_e02-1e119842,Stopping Too Early,Tool Invocation Exception,0,1,Local
alfworld,Qwen3-8B_006_id_6___chat_b004_t00_e03-d2034edc,Faulty Task Structuring,Unknown,0,1,Escalator
alfworld,Qwen3-8B_007_id_7___chat_b005_t00_e00-d3248f80,Stopping Too Early,Contradictory Reasoning,0,1,Local
alfworld,Qwen3-8B_008_id_8___chat_b005_t00_e00-d3248f80,Circular or Invalid Reasoning,Contradictory Reasoning,0,1,Local
alfworld,Qwen3-8B_009_id_9___chat_b005_t00_e03-d2034edc,Token Limit Exceeded,Stopping Too Early,0,1,Escalator
alfworld,Qwen3-8B_010_id_10___chat_b005_t00_e04-7e3c13ba,Faulty Task Structuring,Tool Invocation Exception,0,1,Local
alfworld,Qwen3-8B_011_id_11___chat_b006_t00_e01-5b8f974f,Token Limit Exceeded,Circular or Invalid Reasoning,0,0,Failed
alfworld,Qwen3-8B_012_id_12___chat_b006_t00_e02-1e119842,Stopping Too Early,Circular or Invalid Reasoning,0,0,Failed
alfworld,Qwen3-8B_013_id_13___chat_b007_t00_e01-5b8f974f,Faulty Task Structuring,Overextended Planning,0,0,Failed
alfworld,Qwen3-8B_014_id_14___chat_b007_t00_e02-1e119842,Faulty Task Structuring,Contradictory Reasoning,0,1,Escalator
alfworld,Qwen3-8B_015_id_15___chat_b008_t00_e00-d3248f80,Stopping Too Early,Tool Invocation Exception,0,1,Local
alfworld,Qwen3-8B_016_id_16___chat_b008_t00_e03-d2034edc,Stopping Too Early,Hallucinated Facts,0,1,Escalator
alfworld,Qwen3-8B_017_id_17___chat_b009_t00_e01-5b8f974f,Stopping Too Early,Contradictory Reasoning,0,1,Local
alfworld,Qwen3-8B_018_id_18___chat_b009_t00_e03-d2034edc,Circular or Invalid Reasoning,Circular or Invalid Reasoning,1,1,Local
alfworld,Qwen3-8B_019_id_19___chat_b012_t00_e00-d3248f80,Faulty Task Structuring,Tool Invocation Exception,0,1,Escalator
alfworld,Qwen3-8B_020_id_20___chat_b012_t00_e01-5b8f974f,Tool Invocation Exception,Tool Invocation Exception,1,1,Local
gaia,GPT-4o_001_memory_b000_t00_e00-7743eba0,Overextended Planning,Hallucinated Facts,0,1,Escalator
gaia,GPT-4o_002_memory_b000_t00_e01-7ab08a46,Tool Invocation Exception,Circular or Invalid Reasoning,0,1,Escalator
gaia,GPT-4o_003_memory_b000_t00_e03-21a3a421,Faulty Task Structuring,Faulty Task Structuring,1,0,Failed
gaia,GPT-4o_004_memory_b000_t00_e04-5e8c1dcf,Faulty Task Structuring,Contradictory Reasoning,0,0,Failed
gaia,GPT-4o_005_memory_b000_t00_e05-c9015705,Faulty Task Structuring,Faulty Task Structuring,1,0,Failed
gaia,GPT-4o_006_memory_b000_t00_e06-71f77595,Outdated Memory,Tool Output Exception,0,1,Escalator
gaia,GPT-4o_007_memory_b000_t00_e08-f572f2ad,Outdated Memory,Hallucinated Facts,0,1,Local
gaia,GPT-4o_008_memory_b000_t00_e09-f0557a9f,Faulty Task Structuring,Circular or Invalid Reasoning,0,0,Failed
gaia,GPT-4o_009_memory_b001_t00_e01-7ab08a46,Overextended Planning,Unknown,0,1,Escalator
gaia,GPT-4o_010_memory_b001_t00_e02-8d639e26,Faulty Task Structuring,Hallucinated Facts,0,1,Local
gaia,GPT-4o_011_memory_b001_t00_e03-21a3a421,Outdated Memory,Hallucinated Facts,0,1,Local
gaia,GPT-4o_012_memory_b001_t00_e04-5e8c1dcf,Tool Output Exception,Hallucinated Facts,0,1,Escalator
gaia,GPT-4o_013_memory_b001_t00_e05-c9015705,Tool Invocation Exception,Circular or Invalid Reasoning,0,0,Failed
gaia,GPT-4o_014_memory_b001_t00_e06-71f77595,Overextended Planning,Tool Output Exception,0,1,Escalator
gaia,GPT-4o_015_memory_b001_t00_e07-f5b5d66a,Circular or Invalid Reasoning,Ambiguous Goal,0,1,Escalator
gaia,GPT-4o_016_memory_b001_t00_e08-f572f2ad,Faulty Task Structuring,Overextended Planning,0,1,Escalator
gaia,Llama3.3-70B-Turbo_001_memory_b000_t00_e00-7743eba0,Overextended Planning,Context Corruption,0,1,Escalator
