Dataset,CaseID,GT_Label,Predicted_Label,Correct,Success,ResolvedPhase,n_calls,input_tokens,output_tokens,elapsed_s
alfworld,Qwen3-8B_001_id_1___chat_b000_t00_e01-5b8f974f,Stopping Too Early,Circular or Invalid Reasoning,0,1,Local,3,7745,625,9.03
alfworld,Qwen3-8B_002_id_2___chat_b000_t00_e04-7e3c13ba,Overextended Planning,Circular or Invalid Reasoning,0,0,Failed,10,22661,2568,36.18
alfworld,Qwen3-8B_003_id_3___chat_b001_t00_e01-5b8f974f,Faulty Task Structuring,Hallucinated Facts,0,0,Failed,10,25976,3245,43.36
alfworld,Qwen3-8B_004_id_4___chat_b001_t00_e02-1e119842,Stopping Too Early,Circular or Invalid Reasoning,0,0,Failed,10,26099,2924,40.62
alfworld,Qwen3-8B_005_id_5___chat_b004_t00_e02-1e119842,Stopping Too Early,Tool Invocation Exception,0,1,Escalator,10,26307,3128,40.87
alfworld,Qwen3-8B_006_id_6___chat_b004_t00_e03-d2034edc,Faulty Task Structuring,Faulty Task Structuring,1,1,Local,4,9045,861,11.56
alfworld,Qwen3-8B_007_id_7___chat_b005_t00_e00-d3248f80,Stopping Too Early,Contradictory Reasoning,0,1,Escalator,10,24186,3222,42.16
alfworld,Qwen3-8B_008_id_8___chat_b005_t00_e00-d3248f80,Circular or Invalid Reasoning,Contradictory Reasoning,0,1,Escalator,10,24333,3154,41.57
alfworld,Qwen3-8B_009_id_9___chat_b005_t00_e03-d2034edc,Token Limit Exceeded,Contradictory Reasoning,0,1,Escalator,10,25795,2967,40.05
alfworld,Qwen3-8B_010_id_10___chat_b005_t00_e04-7e3c13ba,Faulty Task Structuring,Tool Invocation Exception,0,0,Failed,10,25517,2905,41.52
alfworld,Qwen3-8B_011_id_11___chat_b006_t00_e01-5b8f974f,Token Limit Exceeded,Circular or Invalid Reasoning,0,0,Failed,10,23546,2486,35.76
alfworld,Qwen3-8B_012_id_12___chat_b006_t00_e02-1e119842,Stopping Too Early,Circular or Invalid Reasoning,0,1,Local,3,6885,576,8.39
alfworld,Qwen3-8B_013_id_13___chat_b007_t00_e01-5b8f974f,Faulty Task Structuring,Overextended Planning,0,0,Failed,13,24826,2293,33.24
alfworld,Qwen3-8B_014_id_14___chat_b007_t00_e02-1e119842,Faulty Task Structuring,Contradictory Reasoning,0,1,Escalator,10,23005,2670,37.75
alfworld,Qwen3-8B_015_id_15___chat_b008_t00_e00-d3248f80,Stopping Too Early,Contradictory Reasoning,0,1,Escalator,10,25516,3119,39.91
alfworld,Qwen3-8B_016_id_16___chat_b008_t00_e03-d2034edc,Stopping Too Early,Hallucinated Facts,0,1,Escalator,10,26483,3174,39.82
alfworld,Qwen3-8B_017_id_17___chat_b009_t00_e01-5b8f974f,Stopping Too Early,Faulty Task Structuring,0,1,Escalator,13,26428,3038,39.6
alfworld,Qwen3-8B_018_id_18___chat_b009_t00_e03-d2034edc,Circular or Invalid Reasoning,Circular or Invalid Reasoning,1,1,Local,3,6949,576,8.34
alfworld,Qwen3-8B_019_id_19___chat_b012_t00_e00-d3248f80,Faulty Task Structuring,UI Element Misclick,0,1,Escalator,10,26125,2694,39.29
alfworld,Qwen3-8B_020_id_20___chat_b012_t00_e01-5b8f974f,Tool Invocation Exception,Tool Invocation Exception,1,1,Local,7,16789,1375,20.92
gaia,GPT-4o_001_memory_b000_t00_e00-7743eba0,Overextended Planning,Hallucinated Facts,0,1,Escalator,10,25312,2914,45.65
gaia,GPT-4o_002_memory_b000_t00_e01-7ab08a46,Tool Invocation Exception,Circular or Invalid Reasoning,0,1,Escalator,10,22554,3101,41.04
gaia,GPT-4o_003_memory_b000_t00_e03-21a3a421,Faulty Task Structuring,Faulty Task Structuring,1,0,Failed,13,21419,3279,56.28
gaia,GPT-4o_004_memory_b000_t00_e04-5e8c1dcf,Faulty Task Structuring,Contradictory Reasoning,0,0,Failed,10,20861,3277,45.3
gaia,GPT-4o_005_memory_b000_t00_e05-c9015705,Faulty Task Structuring,Faulty Task Structuring,1,0,Failed,13,25436,3143,44.02
gaia,GPT-4o_006_memory_b000_t00_e06-71f77595,Outdated Memory,Tool Output Exception,0,0,Failed,10,23834,3105,44.67
gaia,GPT-4o_007_memory_b000_t00_e08-f572f2ad,Outdated Memory,Hallucinated Facts,0,1,Escalator,10,24605,3155,42.47
gaia,GPT-4o_008_memory_b000_t00_e09-f0557a9f,Faulty Task Structuring,Circular or Invalid Reasoning,0,0,Failed,10,23197,3275,46.76
