Dataset,CaseID,GT_Label,Oracle_Success,ResolvedPhase
alfworld,Qwen3-8B_001_id_1___chat_b000_t00_e01-5b8f974f,Stopping Too Early,1,Local
alfworld,Qwen3-8B_002_id_2___chat_b000_t00_e04-7e3c13ba,Overextended Planning,1,Local
alfworld,Qwen3-8B_003_id_3___chat_b001_t00_e01-5b8f974f,Faulty Task Structuring,1,Local
alfworld,Qwen3-8B_004_id_4___chat_b001_t00_e02-1e119842,Stopping Too Early,1,Local
alfworld,Qwen3-8B_005_id_5___chat_b004_t00_e02-1e119842,Stopping Too Early,1,Local
alfworld,Qwen3-8B_006_id_6___chat_b004_t00_e03-d2034edc,Faulty Task Structuring,1,Local
alfworld,Qwen3-8B_007_id_7___chat_b005_t00_e00-d3248f80,Stopping Too Early,1,Local
alfworld,Qwen3-8B_008_id_8___chat_b005_t00_e00-d3248f80,Circular or Invalid Reasoning,1,Local
alfworld,Qwen3-8B_009_id_9___chat_b005_t00_e03-d2034edc,Token Limit Exceeded,1,Escalator
alfworld,Qwen3-8B_010_id_10___chat_b005_t00_e04-7e3c13ba,Faulty Task Structuring,1,Local
alfworld,Qwen3-8B_011_id_11___chat_b006_t00_e01-5b8f974f,Token Limit Exceeded,1,Escalator
alfworld,Qwen3-8B_012_id_12___chat_b006_t00_e02-1e119842,Stopping Too Early,1,Escalator
alfworld,Qwen3-8B_013_id_13___chat_b007_t00_e01-5b8f974f,Faulty Task Structuring,1,Local
alfworld,Qwen3-8B_014_id_14___chat_b007_t00_e02-1e119842,Faulty Task Structuring,1,Local
alfworld,Qwen3-8B_015_id_15___chat_b008_t00_e00-d3248f80,Stopping Too Early,1,Local
alfworld,Qwen3-8B_016_id_16___chat_b008_t00_e03-d2034edc,Stopping Too Early,1,Escalator
alfworld,Qwen3-8B_017_id_17___chat_b009_t00_e01-5b8f974f,Stopping Too Early,1,Local
alfworld,Qwen3-8B_018_id_18___chat_b009_t00_e03-d2034edc,Circular or Invalid Reasoning,1,Local
alfworld,Qwen3-8B_019_id_19___chat_b012_t00_e00-d3248f80,Faulty Task Structuring,1,Escalator
alfworld,Qwen3-8B_020_id_20___chat_b012_t00_e01-5b8f974f,Tool Invocation Exception,1,Escalator
gaia,GPT-4o_001_memory_b000_t00_e00-7743eba0,Overextended Planning,1,Local
gaia,GPT-4o_002_memory_b000_t00_e01-7ab08a46,Tool Invocation Exception,1,Escalator
gaia,GPT-4o_003_memory_b000_t00_e03-21a3a421,Faulty Task Structuring,1,Escalator
gaia,GPT-4o_004_memory_b000_t00_e04-5e8c1dcf,Faulty Task Structuring,0,Failed
gaia,GPT-4o_005_memory_b000_t00_e05-c9015705,Faulty Task Structuring,1,Escalator
gaia,GPT-4o_006_memory_b000_t00_e06-71f77595,Outdated Memory,1,Escalator
gaia,GPT-4o_007_memory_b000_t00_e08-f572f2ad,Outdated Memory,1,Escalator
gaia,GPT-4o_008_memory_b000_t00_e09-f0557a9f,Faulty Task Structuring,0,Failed
gaia,GPT-4o_009_memory_b001_t00_e01-7ab08a46,Overextended Planning,1,Escalator
gaia,GPT-4o_010_memory_b001_t00_e02-8d639e26,Faulty Task Structuring,0,Failed
gaia,GPT-4o_011_memory_b001_t00_e03-21a3a421,Outdated Memory,1,Escalator
gaia,GPT-4o_012_memory_b001_t00_e04-5e8c1dcf,Tool Output Exception,0,Failed
gaia,GPT-4o_013_memory_b001_t00_e05-c9015705,Tool Invocation Exception,1,Escalator
gaia,GPT-4o_014_memory_b001_t00_e06-71f77595,Overextended Planning,1,Escalator
gaia,GPT-4o_015_memory_b001_t00_e07-f5b5d66a,Ambiguous Goal,0,Failed
gaia,GPT-4o_016_memory_b001_t00_e08-f572f2ad,Faulty Task Structuring,1,Escalator
gaia,Llama3.3-70B-Turbo_001_memory_b000_t00_e00-7743eba0,Overextended Planning,1,Escalator
gaia,Llama3.3-70B-Turbo_002_memory_b000_t00_e01-7ab08a46,Overextended Planning,1,Escalator
gaia,Llama3.3-70B-Turbo_003_memory_b000_t00_e02-8d639e26,Circular or Invalid Reasoning,1,Escalator
gaia,Llama3.3-70B-Turbo_004_memory_b000_t00_e03-21a3a421,Faulty Task Structuring,0,Failed
webshop,GPT-4o_001_chat_b000_t00_e00-d3248f80,Overextended Planning,1,Local
webshop,GPT-4o_002_chat_b000_t00_e01-5b8f974f,Error Propagation,1,Escalator
webshop,GPT-4o_003_chat_b000_t00_e02-1e119842,API Semantic Mismatch,1,Local
webshop,GPT-4o_004_chat_b000_t00_e03-21a3a421,Stopping Too Early,1,Local
webshop,GPT-4o_005_chat_b000_t00_e04-7e3c13ba,Overextended Planning,1,Local
webshop,GPT-4o_006_chat_b000_t00_e05-996588dc,Overextended Planning,1,Local
webshop,GPT-4o_007_chat_b000_t00_e06-a15c0dc2,Circular or Invalid Reasoning,1,Local
webshop,GPT-4o_008_chat_b000_t00_e07-d50ae81f,Overextended Planning,1,Local
webshop,GPT-4o_009_chat_b000_t00_e08-6a7bac22,Faulty Task Structuring,1,Local
webshop,GPT-4o_010_chat_b000_t00_e09-f0557a9f,Hallucinated Facts,1,Escalator
webshop,GPT-4o_011_chat_b000_t00_e10-69d80a84,Overextended Planning,1,Local
webshop,GPT-4o_012_chat_b000_t00_e11-1cc61441,Ambiguous Goal,1,Escalator
webshop,GPT-4o_013_chat_b000_t00_e12-f27d2887,Hallucinated Facts,1,Local
webshop,GPT-4o_014_chat_b000_t00_e13-c39f2c41,Hallucinated Facts,1,Local
webshop,GPT-4o_015_chat_b000_t00_e14-1d03d2d8,Outdated Memory,1,Escalator
webshop,Llama3.3-70B-Turbo_020_webshop_task_020,Outdated Memory,0,Failed
webshop,Llama3.3-70B-Turbo_019_webshop_task_019,Faulty Task Structuring,1,Local
webshop,Llama3.3-70B-Turbo_018_webshop_task_018,Faulty Task Structuring,1,Local
