Dataset,CaseID,GT_Label,Success,ResolvedPhase,n_calls,input_tokens,output_tokens,elapsed_s
alfworld,Qwen3-8B_001_id_1___chat_b000_t00_e01-5b8f974f,Stopping Too Early,0,Failed,3,4209,701,9.84
alfworld,Qwen3-8B_002_id_2___chat_b000_t00_e04-7e3c13ba,Overextended Planning,0,Failed,3,3784,495,8.04
alfworld,Qwen3-8B_003_id_3___chat_b001_t00_e01-5b8f974f,Faulty Task Structuring,0,Failed,3,4472,873,11.24
alfworld,Qwen3-8B_004_id_4___chat_b001_t00_e02-1e119842,Stopping Too Early,1,SelfReflection,3,4401,679,10.12
alfworld,Qwen3-8B_005_id_5___chat_b004_t00_e02-1e119842,Stopping Too Early,0,Failed,3,4554,792,11.58
alfworld,Qwen3-8B_006_id_6___chat_b004_t00_e03-d2034edc,Faulty Task Structuring,1,SelfReflection,3,4632,799,10.03
alfworld,Qwen3-8B_007_id_7___chat_b005_t00_e00-d3248f80,Stopping Too Early,0,Failed,3,4099,705,10.24
alfworld,Qwen3-8B_008_id_8___chat_b005_t00_e00-d3248f80,Circular or Invalid Reasoning,0,Failed,3,4144,690,9.95
alfworld,Qwen3-8B_009_id_9___chat_b005_t00_e03-d2034edc,Token Limit Exceeded,0,Failed,3,4523,782,11.23
alfworld,Qwen3-8B_010_id_10___chat_b005_t00_e04-7e3c13ba,Faulty Task Structuring,1,SelfReflection,3,4485,788,11.78
alfworld,Qwen3-8B_011_id_11___chat_b006_t00_e01-5b8f974f,Token Limit Exceeded,0,Failed,3,4046,571,9.11
alfworld,Qwen3-8B_012_id_12___chat_b006_t00_e02-1e119842,Stopping Too Early,0,Failed,3,3542,439,7.57
alfworld,Qwen3-8B_013_id_13___chat_b007_t00_e01-5b8f974f,Faulty Task Structuring,1,SelfReflection,3,4324,722,9.42
alfworld,Qwen3-8B_014_id_14___chat_b007_t00_e02-1e119842,Faulty Task Structuring,0,Failed,3,3868,438,6.45
alfworld,Qwen3-8B_015_id_15___chat_b008_t00_e00-d3248f80,Stopping Too Early,0,Failed,3,4319,758,10.95
alfworld,Qwen3-8B_016_id_16___chat_b008_t00_e03-d2034edc,Stopping Too Early,0,Failed,3,4454,816,11.06
alfworld,Qwen3-8B_017_id_17___chat_b009_t00_e01-5b8f974f,Stopping Too Early,1,SelfReflection,3,4195,709,10.03
alfworld,Qwen3-8B_018_id_18___chat_b009_t00_e03-d2034edc,Circular or Invalid Reasoning,0,Failed,3,3652,538,9.66
alfworld,Qwen3-8B_019_id_19___chat_b012_t00_e00-d3248f80,Faulty Task Structuring,0,Failed,3,4682,845,12.49
alfworld,Qwen3-8B_020_id_20___chat_b012_t00_e01-5b8f974f,Tool Invocation Exception,0,Failed,3,4084,543,8.38
gaia,GPT-4o_001_memory_b000_t00_e00-7743eba0,Overextended Planning,0,Failed,3,4387,660,10.02
gaia,GPT-4o_002_memory_b000_t00_e01-7ab08a46,Tool Invocation Exception,0,Failed,3,3805,816,11.16
gaia,GPT-4o_003_memory_b000_t00_e03-21a3a421,Faulty Task Structuring,0,Failed,3,3363,756,11.18
gaia,GPT-4o_004_memory_b000_t00_e04-5e8c1dcf,Faulty Task Structuring,0,Failed,3,3712,833,11.89
gaia,GPT-4o_005_memory_b000_t00_e05-c9015705,Faulty Task Structuring,0,Failed,3,4092,691,10.6
gaia,GPT-4o_006_memory_b000_t00_e06-71f77595,Outdated Memory,0,Failed,3,3804,566,8.98
gaia,GPT-4o_007_memory_b000_t00_e08-f572f2ad,Outdated Memory,0,Failed,3,4199,792,11.94
gaia,GPT-4o_008_memory_b000_t00_e09-f0557a9f,Faulty Task Structuring,0,Failed,3,3896,711,11.47
gaia,GPT-4o_009_memory_b001_t00_e01-7ab08a46,Overextended Planning,0,Failed,3,4222,747,11.82
gaia,GPT-4o_010_memory_b001_t00_e02-8d639e26,Faulty Task Structuring,0,Failed,3,4222,783,11.88
gaia,GPT-4o_011_memory_b001_t00_e03-21a3a421,Outdated Memory,0,Failed,3,3928,585,9.35
gaia,GPT-4o_012_memory_b001_t00_e04-5e8c1dcf,Tool Output Exception,0,Failed,3,4447,748,12.08
gaia,GPT-4o_013_memory_b001_t00_e05-c9015705,Tool Invocation Exception,0,Failed,3,4280,750,11.12
gaia,GPT-4o_014_memory_b001_t00_e06-71f77595,Overextended Planning,0,Failed,3,4450,663,10.65
gaia,GPT-4o_015_memory_b001_t00_e07-f5b5d66a,Ambiguous Goal,0,Failed,3,4170,886,12.28
gaia,GPT-4o_016_memory_b001_t00_e08-f572f2ad,Faulty Task Structuring,0,Failed,3,4454,725,10.97
gaia,Llama3.3-70B-Turbo_001_memory_b000_t00_e00-7743eba0,Overextended Planning,0,Failed,3,6103,732,10.8
gaia,Llama3.3-70B-Turbo_002_memory_b000_t00_e01-7ab08a46,Overextended Planning,0,Failed,3,4547,819,12.11
gaia,Llama3.3-70B-Turbo_003_memory_b000_t00_e02-8d639e26,Circular or Invalid Reasoning,0,Failed,3,4123,716,10.88
gaia,Llama3.3-70B-Turbo_004_memory_b000_t00_e03-21a3a421,Faulty Task Structuring,0,Failed,3,3603,759,11.51
webshop,GPT-4o_001_chat_b000_t00_e00-d3248f80,Overextended Planning,0,Failed,3,4351,725,10.86
webshop,GPT-4o_002_chat_b000_t00_e01-5b8f974f,Error Propagation,0,Failed,3,4524,823,11.59
webshop,GPT-4o_003_chat_b000_t00_e02-1e119842,API Semantic Mismatch,1,SelfReflection,3,4445,724,9.72
webshop,GPT-4o_004_chat_b000_t00_e03-21a3a421,Stopping Too Early,0,Failed,3,4445,867,10.76
webshop,GPT-4o_005_chat_b000_t00_e04-7e3c13ba,Overextended Planning,1,SelfReflection,3,4431,646,9.09
webshop,GPT-4o_006_chat_b000_t00_e05-996588dc,Overextended Planning,1,SelfReflection,3,4573,768,10.07
webshop,GPT-4o_007_chat_b000_t00_e06-a15c0dc2,Circular or Invalid Reasoning,1,SelfReflection,3,4199,830,11.73
webshop,GPT-4o_008_chat_b000_t00_e07-d50ae81f,Overextended Planning,1,SelfReflection,3,4305,889,12.35
webshop,GPT-4o_009_chat_b000_t00_e08-6a7bac22,Faulty Task Structuring,0,Failed,3,4281,752,10.36
webshop,GPT-4o_010_chat_b000_t00_e09-f0557a9f,Hallucinated Facts,0,Failed,3,4285,722,11.27
webshop,GPT-4o_011_chat_b000_t00_e10-69d80a84,Overextended Planning,1,SelfReflection,3,4542,747,10.86
webshop,GPT-4o_012_chat_b000_t00_e11-1cc61441,Ambiguous Goal,0,Failed,3,4515,892,12.66
webshop,GPT-4o_013_chat_b000_t00_e12-f27d2887,Hallucinated Facts,0,Failed,3,4391,838,11.67
webshop,GPT-4o_014_chat_b000_t00_e13-c39f2c41,Hallucinated Facts,0,Failed,3,4447,810,10.77
webshop,GPT-4o_015_chat_b000_t00_e14-1d03d2d8,Outdated Memory,0,Failed,3,4683,820,10.54
webshop,Llama3.3-70B-Turbo_020_webshop_task_020,Outdated Memory,0,Failed,3,4415,656,9.84
webshop,Llama3.3-70B-Turbo_019_webshop_task_019,Faulty Task Structuring,1,SelfReflection,3,4101,898,12.91
webshop,Llama3.3-70B-Turbo_018_webshop_task_018,Faulty Task Structuring,1,SelfReflection,3,4121,858,10.88
webshop,Llama3.3-70B-Turbo_017_webshop_task_017,Hallucinated Facts,0,Failed,3,4411,701,10.33
webshop,Llama3.3-70B-Turbo_016_webshop_task_016,Outdated Memory,0,Failed,3,4246,630,9.18
